data,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,endereco_cruzamento,numero_cruzamento,referencia_cruzamento,bairro_cruzamento,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,,,,,,,
2017-01-02,16:14:00,SEM VÍTIMA,FINALIZADA,JORDÃO,AV MARIA IRENE,,,PROX. A FEIRA DO JORDAO BAIXO,AV MARIA IRENE,0,PROX. A FEIRA DO JORDAO BAIXO,JORDÃO,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-02,17:01:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA ERNESTO DE PAULA SANTOS,,,PROX. DE GASOLINA SHELL, SENTIDO VIA MANGUE,RUA ERNESTO DE PAULA SANTOS,0,PROX. DE GASOLINA SHELL, SENTIDO VIA MANGUE,BOA VIAGEM,COLISÃO,2,,,,,,,,,0,,,,,,
2017-01-02,17:33:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA ERNESTO DE PAULA SANTOS,417,,E/F DA LIVRARIA MODELO,RUA ERNESTO DE PAULA SANTOS,417,E/F DA LIVRARIA MODELO,BOA VIAGEM,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-02,18:20:00,COM VÍTIMA,FINALIZADA,COQUEIRAL,AV CENTRAL,,,EM FRENTE A MADEREIRA, PROXIMO A ESTAÇÃO DE COQUEIRAL,AV CENTRAL,0,EM FRENTE A MADEREIRA, PROXIMO A ESTAÇÃO DE COQUEIRAL,COQUEIRAL,ATROPELAMENTO,,,,,1,1,,,,1,,,,,,
2017-01-02,19:17:00,SEM VÍTIMA,FINALIZADA,BOA VISTA,AV GOVERNADOR AGAMENON MAGALHAES,,,EM FRENTE AO AMERICANO BATISTA,AV GOVERNADOR AGAMENON MAGALHAES,0,EM FRENTE AO AMERICANO BATISTA,BOA VISTA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-02,19:47:00,SEM VÍTIMA,FINALIZADA,CABANGA,PRC GOVERNADOR PAULO GUERRA,,,AO LADO DA COMPESA,PRC GOVERNADOR PAULO GUERRA,0,AO LADO DA COMPESA,CABANGA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-02,20:28:00,SEM VÍTIMA,FINALIZADA,SAN MARTIN,RUA VINTE E UM DE ABRIL,,,ROTATORIA DE SAN MARTIN,RUA VINTE E UM DE ABRIL,0,ROTATORIA DE SAN MARTIN,SAN MARTIN,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-01-02,20:41:00,COM VÍTIMA,FINALIZADA,TEJIPIÓ,AV DR JOSE RUFINO,3100,,E/F AO POSTO RN PRETOLIO, AO QUARTO BATALHÃO DE COMUNICAÇÕES,AV DR JOSE RUFINO,3100,E/F AO POSTO RN PRETOLIO, AO QUARTO BATALHÃO DE COMUNICAÇÕES,TEJIPIÓ,COLISÃO,1,1,,,,,,,,1,,,,,,
2017-01-02,20:43:00,SEM VÍTIMA,FINALIZADA,VÁRZEA,RUA VALE DO SIRIJI,144,,PX A UPA DA CAXANGA,RUA VALE DO SIRIJI,144,PX A UPA DA CAXANGA,VÁRZEA,COLISÃO,1,1,,,,,,,,0,,,,,,,,
2017-01-02,21:37:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,,E/F A DISMADE - FAIXA DIREITA,AV ENGENHEIRO DOMINGOS FERREIRA,0,E/F A DISMADE - FAIXA DIREITA,BOA VIAGEM,COLISÃO,3,,,,,,,,,0,,,,,,,,
2017-01-03,05:03:00,SEM VÍTIMA,FINALIZADA,DERBY,PRC DO DERBY,,,EM FRENTE A PRAÇA DO DERBY, SENTIDO BOA VIAGEM,PRC DO DERBY,0,EM FRENTE A PRAÇA DO DERBY, SENTIDO BOA VIAGEM,DERBY,COLISÃO,1,,,,,1,,,,0,,,,,,
2017-01-03,06:14:00,SEM VÍTIMA,FINALIZADA,AREIAS,AV RECIFE,,,PROX AO PAM DE AREIAS EM FRENTE A CONCESSIONARIA CPJ VEICULOS SENTIDO BOA VIAGEM,AV RECIFE,0,PROX AO PAM DE AREIAS EM FRENTE A CONCESSIONARIA CPJ VEICULOS SENTIDO BOA VIAGEM,AREIAS,COLISÃO,2,1,,,,,,,,0,,,,,,,,
2017-01-03,06:59:00,SEM VÍTIMA,FINALIZADA,JORDÃO,RUA NOVA CANAA,210,,CRUZAMENTO COM A RUA PORTO NACIONAL,A 60 METROS DO TERMINAL DO JORDÃO BAIXO.,RUA NOVA CANAA,210,CRUZAMENTO COM A RUA PORTO NACIONAL,A 60 METROS DO TERMINAL DO JORDÃO BAIXO.,JORDÃO,COLISÃO,2,,,,,,,,,0,,,,,,
2017-01-03,08:04:00,SEM VÍTIMA,FINALIZADA,VÁRZEA,RUA MARECHAL MANOEL LUIS OSORIO,495,,E/F AO COLÉGIO PONTUAL, SENTIDO BARRO.,RUA MARECHAL MANOEL LUIS OSORIO,495,E/F AO COLÉGIO PONTUAL, SENTIDO BARRO.,VÁRZEA,COLISÃO,2,,,,,,,,,0,,,,,,
2017-01-03,08:20:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,4734,,EM FRENTE LOTERICA,SEMAFORO 114,AV CONSELHEIRO AGUIAR,4734,EM FRENTE LOTERICA,SEMAFORO 114,BOA VIAGEM,COLISÃO,2,,,,,,,,,0,,,,,,
2017-01-03,08:43:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,XX,,EM FRENTE AO EDF. PERNAMBUCANO,AV CONSELHEIRO AGUIAR,XX,EM FRENTE AO EDF. PERNAMBUCANO,BOA VIAGEM,COLISÃO,1,1,,,,,,,,1,,,,,,,,
2017-01-03,09:21:00,SEM VÍTIMA,CANCELADA,AREIAS,AV RECIFE,208,,EM FRENTE A LOJA DE BRECHO BARATÃO,AV RECIFE,208,EM FRENTE A LOJA DE BRECHO BARATÃO,AREIAS,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,09:30:00,SEM VÍTIMA,FINALIZADA,AREIAS,AV RECIFE,,,SEMAFORO O55,AV RECIFE,0,SEMAFORO O55,AREIAS,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,09:33:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA PROFESSOR EDUARDO WANDERLEY FILHO,242,,EM FRENTE AO FLAT ESTUDIO BOA VIAGEM,,RUA PROFESSOR EDUARDO WANDERLEY FILHO,242,EM FRENTE AO FLAT ESTUDIO BOA VIAGEM,,BOA VIAGEM,COLISÃO,2,,,,,,,,,0,,,,,,
2017-01-03,09:35:00,SEM VÍTIMA,FINALIZADA,AREIAS,AV RECIFE,,,CRUZ COM A RUA PINTOR ANTONIO DE ALBUQUERQUE,AV RECIFE,0,CRUZ COM A RUA PINTOR ANTONIO DE ALBUQUERQUE,AREIAS,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,09:46:00,SEM VÍTIMA,FINALIZADA,TORRE,AV RUI BARBOSA,,,DE ESQUINA COM A RUA AMELIA SENTIDO SUBURBIO EM CIMA DA PONTE DA TORRE,AV RUI BARBOSA,0,DE ESQUINA COM A RUA AMELIA SENTIDO SUBURBIO EM CIMA DA PONTE DA TORRE,TORRE,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,09:46:00,SEM VÍTIMA,CANCELADA,SANTO ANTÔNIO,RUA DO SOL,,,E/F POR TRÁS DO TEATRO SANTA ISABEL, E/F AO PALACIO DO GOVERNO.SEMÁFORO 197,RUA DO SOL,0,E/F POR TRÁS DO TEATRO SANTA ISABEL, E/F AO PALACIO DO GOVERNO.SEMÁFORO 197,SANTO ANTÔNIO,COLISÃO,1,,,,,1,,,,0,,,,,,
2017-01-03,10:35:00,SEM VÍTIMA,CANCELADA,CASA FORTE,AV DEZESSETE DE AGOSTO,,,EM FRENTE AO CPOR / SEMAFORO 389,AV DEZESSETE DE AGOSTO,0,EM FRENTE AO CPOR / SEMAFORO 389,CASA FORTE,COLISÃO,,,,,,,,,,0,,,,,,,,
2017-01-03,10:42:00,COM VÍTIMA,FINALIZADA,CAMPO GRANDE,EST DE BELEM,549,,AO LADO CENTRO DE ENSINO ESPECIALIZADO DE PERNAMBUCO,EST DE BELEM,549,AO LADO CENTRO DE ENSINO ESPECIALIZADO DE PERNAMBUCO,CAMPO GRANDE,COLISÃO,1,1,,,,,,,,2,,,,,,,,
2017-01-03,11:13:00,,CANCELADA,CAMPO GRANDE,EST DE BELEM,30,,EM FRENTE AO EDF BELEM / SENT CIDADE,EST DE BELEM,30,EM FRENTE AO EDF BELEM / SENT CIDADE,CAMPO GRANDE,COLISÃO,1,1,,,,,,,,2,,,,,,,,
2017-01-03,12:03:00,SEM VÍTIMA,FINALIZADA,CIDADE UNIVERSITÁRIA,RUA JOAO SALES MENEZES,340,,E/F AO EDF ROSAS DOS VENTOS,RUA JOAO SALES MENEZES,340,E/F AO EDF ROSAS DOS VENTOS,CIDADE UNIVERSITÁRIA,COLISÃO,1,1,,,,,,,,0,,,,,,,,
2017-01-03,12:12:00,SEM VÍTIMA,CANCELADA,SANTO AMARO,AV DR JAYME DA FONTE,,,A NOVA ENTRADA DO PREDIO DA COMPESA,AV DR JAYME DA FONTE,0,A NOVA ENTRADA DO PREDIO DA COMPESA,SANTO AMARO,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,12:45:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,4236,,APOS O RESTAURANTE DOM FERREIRA, EM FRENTE DO VILA AÇAI,AV ENGENHEIRO DOMINGOS FERREIRA,4236,APOS O RESTAURANTE DOM FERREIRA, EM FRENTE DO VILA AÇAI,BOA VIAGEM,COLISÃO,1,,,,,1,,,,0,,,,,,
2017-01-03,12:49:00,COM VÍTIMA,FINALIZADA,ILHA DO LEITE,RUA ESTADO DE ISRAEL,175,,,RUA ESTADO DE ISRAEL,175,0,ILHA DO LEITE,COLISÃO,1,1,,,,,,,,1,,,,,,,,
2017-01-03,13:01:00,COM VÍTIMA,FINALIZADA,JARDIM SÃO PAULO,AV SAO PAULO,,,EM FRENTE A PRAÇA, PROX. PAGUE MENOS,AV SAO PAULO,0,EM FRENTE A PRAÇA, PROX. PAGUE MENOS,JARDIM SÃO PAULO,COLISÃO,,1,,,,1,,,,1,,,,,,
2017-01-03,13:16:00,COM VÍTIMA,FINALIZADA,AFLITOS,AV SANTOS DUMONT,332,,INDO PELA ROSA E SILVA, APOS O CLUBE NALTICO, PRIMEIRA TRANSVERSAL A DIREIRA,AV SANTOS DUMONT,332,INDO PELA ROSA E SILVA, APOS O CLUBE NALTICO, PRIMEIRA TRANSVERSAL A DIREIRA,AFLITOS,COLISÃO,1,1,,,,,,,,1,,,,
2017-01-03,13:50:00,SEM VÍTIMA,FINALIZADA,CASA FORTE,PRC DE CASA FORTE,,,EM FRENTE A IGREJA MATRIZ,PRC DE CASA FORTE,0,EM FRENTE A IGREJA MATRIZ,CASA FORTE,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,13:52:00,COM VÍTIMA,FINALIZADA,MADALENA,RUA BENFICA,,,E/F AO EXTRA,RUA BENFICA,0,E/F AO EXTRA,MADALENA,COLISÃO,1,1,,,,,,,,1,,,,,,,,
2017-01-03,13:54:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,,E/F DA TOYOLEX S/T CID,AV MARECHAL MASCARENHAS DE MORAES,0,E/F DA TOYOLEX S/T CID,IMBIRIBEIRA,ENGAVETAMENTO,3,,,,,,,,,0,,,,,,,,
2017-01-03,14:58:00,SEM VÍTIMA,FINALIZADA,BOA VISTA,RUA DA SAUDADE,,,PROX. DO COLEGIO 2001 E A CAMERA MUNICIPAL,RUA DA SAUDADE,0,PROX. DO COLEGIO 2001 E A CAMERA MUNICIPAL,BOA VISTA,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,15:25:00,SEM VÍTIMA,FINALIZADA,PARNAMIRIM,RUA TITO ROSAS,196,,NO POSTO DE GASOLINA SHELL,RUA TITO ROSAS,196,NO POSTO DE GASOLINA SHELL,PARNAMIRIM,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,15:27:00,COM VÍTIMA,FINALIZADA,SÃO JOSÉ,RUA IMPERIAL,363,,SEMAFORO 414,RUA IMPERIAL,363,SEMAFORO 414,SÃO JOSÉ,COLISÃO COM CICLISTA,1,,,1,,,,,,1,,,,,,,,
2017-01-03,15:42:00,COM VÍTIMA,FINALIZADA,PINA,AV ANTONIO DE GOES,,,NA SAIDA DO TUNEO PROXIMO AO BANCO DO BRASIL,AV ANTONIO DE GOES,0,NA SAIDA DO TUNEO PROXIMO AO BANCO DO BRASIL,PINA,COLISÃO,,,,,,,,,,1,,,,,,,,
2017-01-03,16:33:00,COM VÍTIMA,FINALIZADA,JAQUEIRA,RUA DEPUTADO PEDRO PIRES FERREIRA,,,PROX. AO PARQUE, EM FRENTE AO LAVA JATO PARK JATO,RUA DEPUTADO PEDRO PIRES FERREIRA,0,PROX. AO PARQUE, EM FRENTE AO LAVA JATO PARK JATO,JAQUEIRA,COLISÃO,1,1,,,,,,,,1,,,,,,
